claim_id,third_party_id,third_party_name,third_party_role,involvement_date,first_line_of_address,county,state,zip_code,latitude,longitude,prior_claim_count,prior_litigated_claim_count
CLM00003,TP00024,Orange State Mitigation,Mitigation Company,2025-05-25,2050 Jake St,Orange,FL,32814,28.560782,-81.32269,30,3
CLM00003,TP00080,Atlantic Property Valuation,Appraiser,2025-06-08,9505 Axis Way,Orange,FL,32837,28.396944,-81.417614,75,1
CLM00003,TP00095,Sunrise HVAC,HVAC Contractor,2025-06-13,218 NW 8th St,Miami-Dade,FL,33136,25.785132,-80.210772,74,5
CLM00003,TP00035,Sunrise Roofing & Exteriors,Roofer,2025-06-12,1115 E Twiggs St,Hillsborough,FL,33602,27.951524,-82.459604,52,6
CLM00003,TP00029,Blue Sky Roof Works,Roofer,2025-06-07,355 N Rosalind Ave,Orange,FL,32801,28.545514,-81.378134,103,23
CLM00004,TP00085,Sunstate Property Inspections,Inspector,2024-01-01,7511 Solstice Cir,Orange,FL,32821,28.411672,-81.46685,48,0
CLM00004,TP00057,SunCoast General Builders,General Contractor,2023-12-29,2900 Biscayne Blvd,Miami-Dade,FL,33137,25.80518,-80.188488,70,3
CLM00004,TP00052,Peninsula Property Restoration,General Contractor,2023-12-28,310 N Orange Ave,Orange,FL,32801,28.543216,-81.372806,14,1
CLM00004,TP00015,Florida Home Legal Partners,Attorney,2024-01-01,2751 NW 84th St,Miami-Dade,FL,33147,25.858766,-80.24016,39,2
CLM00004,TP00088,Coastal Emergency Services,Emergency Services Provider,2024-01-01,5009 Park Central Dr,Orange,FL,32839,28.48606,-81.403886,29,2
CLM00004,TP00037,Orange County Roofing Group,Roofer,2023-12-31,9200 Randal Park Blvd,Orange,FL,32832,28.412212,-81.243592,34,2
CLM00004,TP00099,Coastal Air Quality Services,Mold Remediation,2024-01-11,12112 Sugarloaf Key St,Hillsborough,FL,33626,28.058486,-82.624672,16,0
CLM00004,TP00039,Sunstate Plumbing Services,Plumber,2024-01-04,5127 W Tyson Ave,Hillsborough,FL,33611,27.888982,-82.504054,144,36
CLM00004,TP00063,Gulf Coast Recovery Services,Restoration Company,2024-01-06,2633 Azalea Garden Pl,Hillsborough,FL,33619,27.938868,-82.369974,77,1
CLM00004,TP00080,Atlantic Property Valuation,Appraiser,2023-12-31,9505 Axis Way,Orange,FL,32837,28.396944,-81.417614,75,1
CLM00005,TP00081,HomeScope Inspections,Inspector,2024-06-16,2050 Jake St,Orange,FL,32814,28.560782,-81.32269,92,14
CLM00005,TP00053,Bayfront Construction Services,General Contractor,2024-06-17,30 SW 1st St,Miami-Dade,FL,33130,25.765842,-80.208492,76,3
CLM00005,TP00094,Florida Climate Services,HVAC Contractor,2024-06-17,9200 Randal Park Blvd,Orange,FL,32832,28.412212,-81.243592,37,2
CLM00005,TP00048,Palm State Construction,General Contractor,2024-06-17,1211 E Kennedy Blvd,Hillsborough,FL,33602,27.950366,-82.46105,118,23
CLM00005,TP00086,Rapid Response Property Services,Emergency Services Provider,2024-06-17,355 N Rosalind Ave,Orange,FL,32801,28.545514,-81.378134,69,2
CLM00005,TP00072,Atlantic Structural Engineering,Engineer,2024-06-17,2751 NW 84th St,Miami-Dade,FL,33147,25.858766,-80.24016,27,2
CLM00005,TP00073,Gulf Forensic Engineering,Engineer,2024-06-17,700 SW 1st St,Miami-Dade,FL,33130,25.76502,-80.207664,77,2
CLM00005,TP00047,Sunrise Plumbing Group,Plumber,2024-06-17,901 W Chestnut St,Hillsborough,FL,33607,27.956886,-82.501454,34,4
CLM00005,TP00063,Gulf Coast Recovery Services,Restoration Company,2024-06-17,2633 Azalea Garden Pl,Hillsborough,FL,33619,27.938868,-82.369974,77,1
CLM00005,TP00057,SunCoast General Builders,General Contractor,2024-06-17,2900 Biscayne Blvd,Miami-Dade,FL,33137,25.80518,-80.188488,70,3
CLM00006,TP00085,Sunstate Property Inspections,Inspector,2024-10-29,7511 Solstice Cir,Orange,FL,32821,28.411672,-81.46685,48,0
CLM00006,TP00031,Peninsula Roofing Group,Roofer,2024-11-05,5009 Park Central Dr,Orange,FL,32839,28.48606,-81.403886,98,5
CLM00006,TP00048,Palm State Construction,General Contractor,2024-10-19,1211 E Kennedy Blvd,Hillsborough,FL,33602,27.950366,-82.46105,118,23
CLM00006,TP00020,Peninsula Emergency Mitigation,Mitigation Company,2024-10-13,410 N Orange Ave,Orange,FL,32801,28.538032,-81.373544,51,4
CLM00006,TP00074,Peninsula Building Consultants,Engineer,2024-11-10,9567 Sunbelt St,Hillsborough,FL,33635,28.022792,-82.61563,14,1
CLM00006,TP00078,Sunstate Appraisal Group,Appraiser,2024-11-04,180 NE 29th St,Miami-Dade,FL,33137,25.808606,-80.19234,55,0
CLM00007,TP00085,Sunstate Property Inspections,Inspector,2025-11-04,7511 Solstice Cir,Orange,FL,32821,28.411672,-81.46685,48,0
CLM00007,TP00090,Gulf Coast Electrical,Electrician,2025-11-03,2901 NE 1st Ave,Miami-Dade,FL,33137,25.802168,-80.187402,91,17
CLM00007,TP00051,Gulf Atlantic Builders,General Contractor,2025-11-03,1011 E Cumberland Ave,Hillsborough,FL,33602,27.948032,-82.463042,97,17
CLM00007,TP00093,Coastal Air Systems,HVAC Contractor,2025-11-08,101 Lake Ave,Orange,FL,32801,28.539466,-81.369524,43,3
CLM00007,TP00088,Coastal Emergency Services,Emergency Services Provider,2025-11-21,5009 Park Central Dr,Orange,FL,32839,28.48606,-81.403886,29,2
CLM00007,TP00080,Atlantic Property Valuation,Appraiser,2025-11-17,9505 Axis Way,Orange,FL,32837,28.396944,-81.417614,75,1
CLM00008,TP00085,Sunstate Property Inspections,Inspector,2024-03-14,7511 Solstice Cir,Orange,FL,32821,28.411672,-81.46685,48,0
CLM00008,TP00089,Sunstate Electrical Services,Electrician,2024-03-01,7575 Universal Blvd,Orange,FL,32819,28.451704,-81.47356,88,18
CLM00008,TP00048,Palm State Construction,General Contractor,2024-03-05,1211 E Kennedy Blvd,Hillsborough,FL,33602,27.950366,-82.46105,118,23
CLM00008,TP00024,Orange State Mitigation,Mitigation Company,2024-03-03,2050 Jake St,Orange,FL,32814,28.560782,-81.32269,30,3
CLM00008,TP00062,Atlantic Property Restoration,Restoration Company,2024-03-30,710 NE 1st Ave,Miami-Dade,FL,33132,25.783848,-80.189314,45,0
CLM00008,TP00079,Florida Loss Appraisers,Appraiser,2024-03-28,10149 Arise Loop,Orange,FL,32837,28.397256,-81.42077,88,14
CLM00008,TP00100,Florida Mold Response,Mold Remediation,2024-03-19,921 N Central Ave,Hillsborough,FL,33602,27.95189,-82.4639,36,2
CLM00008,TP00027,Atlantic Peak Roofing,Roofer,2024-03-15,109 W Fortune St,Hillsborough,FL,33602,27.947222,-82.458452,131,35
CLM00008,TP00042,Coastal Pipeworks,Plumber,2024-03-06,12112 Sugarloaf Key St,Hillsborough,FL,33626,28.058486,-82.624672,53,2
CLM00008,TP00029,Blue Sky Roof Works,Roofer,2024-03-17,355 N Rosalind Ave,Orange,FL,32801,28.545514,-81.378134,103,23
CLM00008,TP00090,Gulf Coast Electrical,Electrician,2024-03-10,2901 NE 1st Ave,Miami-Dade,FL,33137,25.802168,-80.187402,91,17
CLM00009,TP00081,HomeScope Inspections,Inspector,2022-02-25,2050 Jake St,Orange,FL,32814,28.560782,-81.32269,92,14
CLM00009,TP00034,StormGuard Roof Services,Roofer,2022-02-28,6501 S Westshore Blvd,Hillsborough,FL,33616,27.869022,-82.523216,94,9
CLM00009,TP00054,Florida Residential Builders,General Contractor,2022-02-15,6970 SW 40th St,Miami-Dade,FL,33155,25.7421,-80.313298,50,4
CLM00009,TP00012,Atlantic Home Claims Law,Attorney,2022-03-07,520 E Church St,Orange,FL,32801,28.542388,-81.368972,57,5
CLM00009,TP00073,Gulf Forensic Engineering,Engineer,2022-02-26,700 SW 1st St,Miami-Dade,FL,33130,25.76502,-80.207664,77,2
CLM00010,TP00081,HomeScope Inspections,Inspector,2024-03-17,2050 Jake St,Orange,FL,32814,28.560782,-81.32269,92,14
CLM00010,TP00090,Gulf Coast Electrical,Electrician,2024-04-08,2901 NE 1st Ave,Miami-Dade,FL,33137,25.802168,-80.187402,91,17
CLM00010,TP00049,Coastal Build Group,General Contractor,2024-03-25,3131 NE 1st Ave,Miami-Dade,FL,33137,25.807112,-80.193906,105,19
CLM00010,TP00070,Palm State Public Adjusting,Public Adjuster,2024-04-05,4000 Headwaters Way,Orange,FL,32837,28.386144,-81.418598,105,15
CLM00010,TP00060,Coastal Property Recovery,Restoration Company,2024-04-13,295 NE Ivanhoe Blvd,Orange,FL,32804,28.579332,-81.39362,14,1
CLM00010,TP00076,Coastal Engineering Services,Engineer,2024-04-07,300 W Tyler St,Hillsborough,FL,33602,27.948668,-82.456928,57,3
CLM00010,TP00077,Coastal Property Appraisal,Appraiser,2024-04-04,410 N Orange Ave,Orange,FL,32801,28.538032,-81.373544,93,16
CLM00010,TP00094,Florida Climate Services,HVAC Contractor,2024-04-10,9200 Randal Park Blvd,Orange,FL,32832,28.412212,-81.243592,37,2
CLM00010,TP00061,Florida Home Restoration,Restoration Company,2024-03-31,733 Main Ln,Orange,FL,32801,28.546738,-81.375962,44,0
CLM00010,TP00048,Palm State Construction,General Contractor,2024-04-01,1211 E Kennedy Blvd,Hillsborough,FL,33602,27.950366,-82.46105,118,23
CLM00011,TP00085,Sunstate Property Inspections,Inspector,2022-07-10,7511 Solstice Cir,Orange,FL,32821,28.411672,-81.46685,48,0
CLM00011,TP00040,Gulf Flow Plumbing,Plumber,2022-07-23,230 NE 4th St,Miami-Dade,FL,33132,25.781976,-80.192572,109,25
CLM00011,TP00054,Florida Residential Builders,General Contractor,2022-07-12,6970 SW 40th St,Miami-Dade,FL,33155,25.7421,-80.313298,50,4
CLM00011,TP00010,Bayfront Property Law,Attorney,2022-07-14,6600 NW 7th St,Miami-Dade,FL,33126,25.778214,-80.295246,74,8
CLM00011,TP00071,Bayfront Claim Consultants,Public Adjuster,2022-07-08,8733 Rooks Park Cir,Hillsborough,FL,33619,27.936594,-82.36584,38,5
CLM00011,TP00098,Sunstate Mold Remediation,Mold Remediation,2022-08-01,3000 NE 2nd Ave,Miami-Dade,FL,33137,25.808936,-80.195094,80,1
CLM00011,TP00077,Coastal Property Appraisal,Appraiser,2022-07-31,410 N Orange Ave,Orange,FL,32801,28.538032,-81.373544,93,16
CLM00011,TP00030,Gulf Ridge Roofing,Roofer,2022-07-16,3219 S Orange Ave,Orange,FL,32806,28.517866,-81.366976,83,2
CLM00011,TP00096,Bayfront Air & Mechanical,HVAC Contractor,2022-07-06,5127 W Tyson Ave,Hillsborough,FL,33611,27.888982,-82.504054,89,3
CLM00012,TP00083,Coastal Inspection Services,Inspector,2023-08-11,2650 Dade Ave,Orange,FL,32804,28.583628,-81.389606,89,12
CLM00012,TP00056,Atlantic Home Reconstruction,General Contractor,2023-07-30,9931 W Flagler St,Miami-Dade,FL,33174,25.75642,-80.352414,12,0
CLM00012,TP00051,Gulf Atlantic Builders,General Contractor,2023-08-06,1011 E Cumberland Ave,Hillsborough,FL,33602,27.948032,-82.463042,97,17
CLM00012,TP00067,Florida Claim Advocates,Public Adjuster,2023-08-09,6600 NW 7th St,Miami-Dade,FL,33126,25.778214,-80.295246,92,12
CLM00012,TP00057,SunCoast General Builders,General Contractor,2023-08-08,2900 Biscayne Blvd,Miami-Dade,FL,33137,25.80518,-80.188488,70,3
CLM00012,TP00086,Rapid Response Property Services,Emergency Services Provider,2023-08-05,355 N Rosalind Ave,Orange,FL,32801,28.545514,-81.378134,69,2
CLM00012,TP00095,Sunrise HVAC,HVAC Contractor,2023-08-15,218 NW 8th St,Miami-Dade,FL,33136,25.785132,-80.210772,74,5
CLM00013,TP00084,Florida Field Inspection Group,Inspector,2023-07-28,109 W Fortune St,Hillsborough,FL,33602,27.947222,-82.458452,86,11
CLM00013,TP00051,Gulf Atlantic Builders,General Contractor,2023-07-30,1011 E Cumberland Ave,Hillsborough,FL,33602,27.948032,-82.463042,97,17
CLM00013,TP00056,Atlantic Home Reconstruction,General Contractor,2023-07-31,9931 W Flagler St,Miami-Dade,FL,33174,25.75642,-80.352414,12,0
CLM00013,TP00019,Everglade Loss Mitigation,Mitigation Company,2023-07-16,300 W Tyler St,Hillsborough,FL,33602,27.948668,-82.456928,108,25
CLM00013,TP00003,Gulf Coast Coverage Law,Attorney,2023-08-05,295 NE Ivanhoe Blvd,Orange,FL,32804,28.579332,-81.39362,103,59
CLM00013,TP00065,Coastal Loss Consultants,Public Adjuster,2023-08-01,2828 NW 1st Ave,Miami-Dade,FL,33127,25.79715,-80.197564,74,4
CLM00014,TP00081,HomeScope Inspections,Inspector,2024-07-27,2050 Jake St,Orange,FL,32814,28.560782,-81.32269,92,14
CLM00014,TP00034,StormGuard Roof Services,Roofer,2024-08-06,6501 S Westshore Blvd,Hillsborough,FL,33616,27.869022,-82.523216,94,9
CLM00014,TP00054,Florida Residential Builders,General Contractor,2024-07-31,6970 SW 40th St,Miami-Dade,FL,33155,25.7421,-80.313298,50,4
CLM00014,TP00092,Florida Residential Electric,Electrician,2024-07-22,1115 E Twiggs St,Hillsborough,FL,33602,27.951524,-82.459604,79,13
CLM00014,TP00079,Florida Loss Appraisers,Appraiser,2024-08-11,10149 Arise Loop,Orange,FL,32837,28.397256,-81.42077,88,14
CLM00014,TP00039,Sunstate Plumbing Services,Plumber,2024-08-04,5127 W Tyson Ave,Hillsborough,FL,33611,27.888982,-82.504054,144,36
CLM00014,TP00075,Florida Structural Review,Engineer,2024-08-01,101 W Beach Pl,Hillsborough,FL,33606,27.939852,-82.48549,24,2
CLM00014,TP00062,Atlantic Property Restoration,Restoration Company,2024-07-31,710 NE 1st Ave,Miami-Dade,FL,33132,25.783848,-80.189314,45,0
CLM00014,TP00097,Atlantic Mold Solutions,Mold Remediation,2024-08-09,230 NE 4th St,Miami-Dade,FL,33132,25.781976,-80.192572,77,5
CLM00015,TP00085,Sunstate Property Inspections,Inspector,2023-08-16,7511 Solstice Cir,Orange,FL,32821,28.411672,-81.46685,48,0
CLM00015,TP00043,Palm Line Plumbing,Plumber,2023-08-16,921 N Central Ave,Hillsborough,FL,33602,27.95189,-82.4639,74,3
CLM00015,TP00054,Florida Residential Builders,General Contractor,2023-08-21,6970 SW 40th St,Miami-Dade,FL,33155,25.7421,-80.313298,50,4
CLM00015,TP00018,Sunrise Water Mitigation,Mitigation Company,2023-08-18,101 W Beach Pl,Hillsborough,FL,33606,27.939852,-82.48549,117,29
CLM00015,TP00014,Coastal Resolution Law,Attorney,2023-09-02,8733 Rooks Park Cir,Hillsborough,FL,33619,27.936594,-82.36584,46,3
CLM00015,TP00067,Florida Claim Advocates,Public Adjuster,2023-09-09,6600 NW 7th St,Miami-Dade,FL,33126,25.778214,-80.295246,92,12
CLM00015,TP00078,Sunstate Appraisal Group,Appraiser,2023-08-24,180 NE 29th St,Miami-Dade,FL,33137,25.808606,-80.19234,55,0
CLM00015,TP00038,Atlantic Pipe & Drain,Plumber,2023-08-20,218 NW 8th St,Miami-Dade,FL,33136,25.785132,-80.210772,121,34
CLM00015,TP00095,Sunrise HVAC,HVAC Contractor,2023-09-13,218 NW 8th St,Miami-Dade,FL,33136,25.785132,-80.210772,74,5
CLM00016,TP00084,Florida Field Inspection Group,Inspector,2025-12-23,109 W Fortune St,Hillsborough,FL,33602,27.947222,-82.458452,86,11
CLM00016,TP00089,Sunstate Electrical Services,Electrician,2026-01-10,7575 Universal Blvd,Orange,FL,32819,28.451704,-81.47356,88,18
CLM00016,TP00054,Florida Residential Builders,General Contractor,2025-12-24,6970 SW 40th St,Miami-Dade,FL,33155,25.7421,-80.313298,50,4
CLM00016,TP00019,Everglade Loss Mitigation,Mitigation Company,2025-12-10,300 W Tyler St,Hillsborough,FL,33602,27.948668,-82.456928,108,25
CLM00016,TP00078,Sunstate Appraisal Group,Appraiser,2025-12-31,180 NE 29th St,Miami-Dade,FL,33137,25.808606,-80.19234,55,0
CLM00017,TP00081,HomeScope Inspections,Inspector,2022-11-25,2050 Jake St,Orange,FL,32814,28.560782,-81.32269,92,14
CLM00017,TP00029,Blue Sky Roof Works,Roofer,2022-12-06,355 N Rosalind Ave,Orange,FL,32801,28.545514,-81.378134,103,23
CLM00017,TP00055,Orange State Contracting,General Contractor,2022-11-19,6904 Ralston Pl Dr,Hillsborough,FL,33614,28.00581,-82.507956,12,0
CLM00017,TP00008,Orange State Legal Group,Attorney,2022-12-22,2828 NW 1st Ave,Miami-Dade,FL,33127,25.79715,-80.197564,69,17
CLM00017,TP00078,Sunstate Appraisal Group,Appraiser,2022-11-21,180 NE 29th St,Miami-Dade,FL,33137,25.808606,-80.19234,55,0
CLM00017,TP00088,Coastal Emergency Services,Emergency Services Provider,2022-12-10,5009 Park Central Dr,Orange,FL,32839,28.48606,-81.403886,29,2
CLM00018,TP00084,Florida Field Inspection Group,Inspector,2025-05-28,109 W Fortune St,Hillsborough,FL,33602,27.947222,-82.458452,86,11
CLM00018,TP00032,Coastal Crown Roofing,Roofer,2025-05-31,7575 Universal Blvd,Orange,FL,32819,28.451704,-81.47356,89,1
CLM00018,TP00056,Atlantic Home Reconstruction,General Contractor,2025-06-08,9931 W Flagler St,Miami-Dade,FL,33174,25.75642,-80.352414,12,0
CLM00018,TP00022,First Coast Drying Services,Mitigation Company,2025-06-02,10149 Arise Loop,Orange,FL,32837,28.397256,-81.42077,34,3
CLM00018,TP00051,Gulf Atlantic Builders,General Contractor,2025-06-13,1011 E Cumberland Ave,Hillsborough,FL,33602,27.948032,-82.463042,97,17
CLM00018,TP00079,Florida Loss Appraisers,Appraiser,2025-06-16,10149 Arise Loop,Orange,FL,32837,28.397256,-81.42077,88,14
CLM00018,TP00094,Florida Climate Services,HVAC Contractor,2025-06-16,9200 Randal Park Blvd,Orange,FL,32832,28.412212,-81.243592,37,2
CLM00018,TP00080,Atlantic Property Valuation,Appraiser,2025-06-16,9505 Axis Way,Orange,FL,32837,28.396944,-81.417614,75,1
CLM00019,TP00085,Sunstate Property Inspections,Inspector,2024-04-24,7511 Solstice Cir,Orange,FL,32821,28.411672,-81.46685,48,0
CLM00019,TP00040,Gulf Flow Plumbing,Plumber,2024-04-13,230 NE 4th St,Miami-Dade,FL,33132,25.781976,-80.192572,109,25
CLM00019,TP00050,Sunrise General Contracting,General Contractor,2024-04-30,55 NE 2nd St,Miami-Dade,FL,33132,25.784184,-80.187508,101,18
CLM00019,TP00099,Coastal Air Quality Services,Mold Remediation,2024-05-09,12112 Sugarloaf Key St,Hillsborough,FL,33626,28.058486,-82.624672,16,0
CLM00019,TP00086,Rapid Response Property Services,Emergency Services Provider,2024-04-21,355 N Rosalind Ave,Orange,FL,32801,28.545514,-81.378134,69,2
CLM00019,TP00095,Sunrise HVAC,HVAC Contractor,2024-05-06,218 NW 8th St,Miami-Dade,FL,33136,25.785132,-80.210772,74,5
CLM00019,TP00043,Palm Line Plumbing,Plumber,2024-04-19,921 N Central Ave,Hillsborough,FL,33602,27.95189,-82.4639,74,3
CLM00020,TP00081,HomeScope Inspections,Inspector,2023-01-21,2050 Jake St,Orange,FL,32814,28.560782,-81.32269,92,14
CLM00020,TP00046,Peninsula Pipe & Drain,Plumber,2023-02-08,5432 W Tyson Ave,Hillsborough,FL,33611,27.888268,-82.506778,81,8
CLM00020,TP00054,Florida Residential Builders,General Contractor,2023-01-30,6970 SW 40th St,Miami-Dade,FL,33155,25.7421,-80.313298,50,4
CLM00020,TP00012,Atlantic Home Claims Law,Attorney,2023-02-13,520 E Church St,Orange,FL,32801,28.542388,-81.368972,57,5
CLM00020,TP00079,Florida Loss Appraisers,Appraiser,2023-02-17,10149 Arise Loop,Orange,FL,32837,28.397256,-81.42077,88,14
CLM00020,TP00095,Sunrise HVAC,HVAC Contractor,2023-02-19,218 NW 8th St,Miami-Dade,FL,33136,25.785132,-80.210772,74,5
CLM00021,TP00085,Sunstate Property Inspections,Inspector,2023-01-14,7511 Solstice Cir,Orange,FL,32821,28.411672,-81.46685,48,0
CLM00021,TP00037,Orange County Roofing Group,Roofer,2023-01-27,9200 Randal Park Blvd,Orange,FL,32832,28.412212,-81.243592,34,2
CLM00021,TP00053,Bayfront Construction Services,General Contractor,2023-01-19,30 SW 1st St,Miami-Dade,FL,33130,25.765842,-80.208492,76,3
CLM00021,TP00015,Florida Home Legal Partners,Attorney,2023-02-17,2751 NW 84th St,Miami-Dade,FL,33147,25.858766,-80.24016,39,2
CLM00021,TP00073,Gulf Forensic Engineering,Engineer,2023-02-05,700 SW 1st St,Miami-Dade,FL,33130,25.76502,-80.207664,77,2
CLM00022,TP00084,Florida Field Inspection Group,Inspector,2024-03-27,109 W Fortune St,Hillsborough,FL,33602,27.947222,-82.458452,86,11
CLM00022,TP00029,Blue Sky Roof Works,Roofer,2024-03-30,355 N Rosalind Ave,Orange,FL,32801,28.545514,-81.378134,103,23
CLM00022,TP00054,Florida Residential Builders,General Contractor,2024-04-02,6970 SW 40th St,Miami-Dade,FL,33155,25.7421,-80.313298,50,4
CLM00022,TP00073,Gulf Forensic Engineering,Engineer,2024-04-15,700 SW 1st St,Miami-Dade,FL,33130,25.76502,-80.207664,77,2
CLM00022,TP00075,Florida Structural Review,Engineer,2024-03-31,101 W Beach Pl,Hillsborough,FL,33606,27.939852,-82.48549,24,2
CLM00022,TP00093,Coastal Air Systems,HVAC Contractor,2024-03-25,101 Lake Ave,Orange,FL,32801,28.539466,-81.369524,43,3
CLM00022,TP00092,Florida Residential Electric,Electrician,2024-04-07,1115 E Twiggs St,Hillsborough,FL,33602,27.951524,-82.459604,79,13
CLM00023,TP00082,Peninsula Property Inspections,Inspector,2025-03-10,452 NE 31st St,Miami-Dade,FL,33137,25.805582,-80.194716,96,13
CLM00023,TP00051,Gulf Atlantic Builders,General Contractor,2025-03-18,1011 E Cumberland Ave,Hillsborough,FL,33602,27.948032,-82.463042,97,17
CLM00023,TP00048,Palm State Construction,General Contractor,2025-03-02,1211 E Kennedy Blvd,Hillsborough,FL,33602,27.950366,-82.46105,118,23
CLM00023,TP00092,Florida Residential Electric,Electrician,2025-03-12,1115 E Twiggs St,Hillsborough,FL,33602,27.951524,-82.459604,79,13
CLM00023,TP00087,Florida Emergency Property Care,Emergency Services Provider,2025-03-08,3219 S Orange Ave,Orange,FL,32806,28.517866,-81.366976,14,1
CLM00023,TP00074,Peninsula Building Consultants,Engineer,2025-03-18,9567 Sunbelt St,Hillsborough,FL,33635,28.022792,-82.61563,14,1
CLM00023,TP00096,Bayfront Air & Mechanical,HVAC Contractor,2025-03-08,5127 W Tyson Ave,Hillsborough,FL,33611,27.888982,-82.504054,89,3
CLM00023,TP00073,Gulf Forensic Engineering,Engineer,2025-03-03,700 SW 1st St,Miami-Dade,FL,33130,25.76502,-80.207664,77,2
CLM00023,TP00044,Florida Leak Response,Plumber,2025-03-18,110 Zora Pl,Orange,FL,32810,28.615406,-81.425066,51,4
CLM00023,TP00077,Coastal Property Appraisal,Appraiser,2025-03-17,410 N Orange Ave,Orange,FL,32801,28.538032,-81.373544,93,16
CLM00024,TP00085,Sunstate Property Inspections,Inspector,2024-12-29,7511 Solstice Cir,Orange,FL,32821,28.411672,-81.46685,48,0
CLM00024,TP00037,Orange County Roofing Group,Roofer,2025-01-03,9200 Randal Park Blvd,Orange,FL,32832,28.412212,-81.243592,34,2
CLM00024,TP00055,Orange State Contracting,General Contractor,2025-01-05,6904 Ralston Pl Dr,Hillsborough,FL,33614,28.00581,-82.507956,12,0
CLM00024,TP00015,Florida Home Legal Partners,Attorney,2024-12-28,2751 NW 84th St,Miami-Dade,FL,33147,25.858766,-80.24016,39,2
CLM00024,TP00080,Atlantic Property Valuation,Appraiser,2024-12-29,9505 Axis Way,Orange,FL,32837,28.396944,-81.417614,75,1
CLM00024,TP00093,Coastal Air Systems,HVAC Contractor,2024-12-24,101 Lake Ave,Orange,FL,32801,28.539466,-81.369524,43,3
CLM00025,TP00083,Coastal Inspection Services,Inspector,2025-09-25,2650 Dade Ave,Orange,FL,32804,28.583628,-81.389606,89,12
CLM00025,TP00029,Blue Sky Roof Works,Roofer,2025-10-03,355 N Rosalind Ave,Orange,FL,32801,28.545514,-81.378134,103,23
CLM00025,TP00048,Palm State Construction,General Contractor,2025-10-03,1211 E Kennedy Blvd,Hillsborough,FL,33602,27.950366,-82.46105,118,23
